20180101|9780062693013|1543053505|1543139905
20180102|9781583228869|1543086705|1545678705
20180130|9781635884517|1543119905|1545711905
20180121|9780804758345|1543153105|1545745105
20180121|0802802800000|1543186305|1545778305
20180118|9781628251845|1543219505|1545811505
20180115|5498753049583|1543252705|1545844705
20180108|9780486497082|1543285905|1545877905
20180127|9780062422750|1543319105|1545911105
20180104|9780804758345|1543156519|1545748519
20180117|9781628251845|1543222919|1545814919
20180123|5498753049583|1543256119|1545848119
20180129|9780486497082|1543289319|1545881319
20180109|9780062422750|1543322519|1545914519
20180107|9780486678504|1543355719|1545947719
20180108|9780801031779|1543388919|1545980919
20180119|9780306811593|1543422119|1546014119
20180128|9791196391003|1543455319|1546047319
20180126|9781110165964|1543488519|1546080519
20180120|9780521142427|1543521719|1546200119
